stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,SMA_20,EMA_26,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,signal_buy,signal_sell
2454,9126978,3379890360,376.0,378.0,368.5,369.0,-7.0,6278,50.97597879927892,8.967884770875628,-2.70791225660612,11.675797027481748,376.65,368.6452310766615,2.5629721833238124,-1.1549762000141501,3.7179483833379625,0,1
2454,7417613,2769711658,369.5,376.5,369.0,376.5,7.5,4535,56.854729238699484,8.21480144388471,-2.7687964668776317,10.983597910762342,377.1,369.2270658117236,2.2737455197132563,-1.155362290899765,3.4291078106130213,0,1
2454,3950924,1474616152,374.0,375.5,372.0,372.0,-4.5,2937,52.76619355308559,7.172188564403143,-3.04912747708736,10.221316041490503,377.175,369.4324683441885,1.8957549519833723,-1.2266822869037193,3.1224372388870916,0,1
2454,8891382,3347302942,372.0,381.0,367.5,379.5,7.5,6013,58.16584395057902,6.87188287746568,-2.6795465312198594,9.55142940868554,377.95000000000005,370.1782114298042,1.4582049702197553,-1.331385814933869,2.7895907851536244,1,0
2454,7691915,2957855704,382.5,387.0,382.0,385.5,6.0,5690,61.9166335146204,7.036921067158971,-2.011606673221255,9.048527740380226,378.975,371.3131587313002,1.0985545783050288,-1.3528289654788765,2.4513835437839053,1,0
2454,5092932,1956043888,386.5,388.0,381.5,384.0,-1.5,3628,60.457265317882246,6.966373539800031,-1.6657233604641561,8.632096900264187,379.8,372.25292475120386,0.9570232748060421,-1.1954882151822905,2.1525114899883326,1,0
2454,5088917,1955784128,384.0,385.5,383.0,384.5,0.5,3342,60.789028792262584,6.871598428167829,-1.4083987776770872,8.279997205844916,380.3,373.16011551037394,0.8498896247240568,-1.0420974922114208,1.8919871169354776,1,0
2454,8426727,3163185625,382.0,382.5,372.0,372.0,-12.5,6485,49.587889740458166,5.721884612180531,-2.0464900749315085,7.76837468711204,379.77500000000003,373.07418102812403,0.4837313508834509,-1.1266046128416214,1.6103359637250723,0,1
2454,14688516,5456678178,371.0,375.0,368.0,370.5,-1.5,9075,48.43454759907905,4.636246897521744,-2.5057022316722373,7.141949129193981,379.40000000000003,372.8835009519667,0.09759492166946182,-1.2101928336444885,1.3077877553139503,0,1
2454,9994456,3680153808,370.0,371.5,366.0,367.0,-3.5,6593,45.760118185451994,3.4536390367774175,-2.9506480739332517,6.404287110710669,379.02500000000003,372.44768606663587,-0.37414100279969686,-1.3455430064909177,0.971402003691221,0,1
2454,12208364,4426876417,370.0,372.0,359.0,360.0,-7.0,8326,40.896327451961305,1.9293321483107775,-3.5799639699199135,5.509296118230691,378.27500000000003,371.5256352468851,-0.7647907647907756,-1.3889542147855973,0.6241634499948217,0,1
2454,8885926,3273979046,364.0,372.0,362.0,371.0,11.0,6238,49.90676975315384,1.5905808009559337,-3.1349722538198064,4.72555305477574,377.725,371.48669930267135,-0.9104639717612009,-1.227701937404818,0.31723796564361717,0,1
